# Disclaimer - You may not use this list without acceptance of the below:
#
# The following IP addresses have been detected performing TCP SYN to 206.82.85.196/30 to a non-listening service or daemon.
# No assertion is made, nor implied, that any of the below listed IP addresses are accurate, malicious, hostile, or engaged in nefarious acts.
# Use this list at your own risk.  By using this list in any capacity or capability you release all claims of damages and shall not hold or perceive any
# liability against the publisher for:  damage, unexpected events or results, decision, or reputation damage, even those resulting from wilful
# or intentional neglect.
#
# No claims made against this data shall be honored; no assertions have been made about the quality, accuracy, usability, actionability,
# reputation, merit, or hostility of the below findings.
#
# If you feel that an IP address is inaccurately listed below please contact me at any RFC822 6.3, RFC1123 5.2.7, or RFC2821 4.5.1
# address associated with this domain; the below findings are soley fed by TCP SYN which is trivial to forge/spoof; no SYN-ACK/ACK 
# validation has been performed on the below IPv4 addresses, however, the honeypot does SYN-ACK..
#
# This list may not be included in any 'for-sale' component and may not be included in pay-wall subscription-based services except
# for organizations that I have explicitly given permission to by E-Mail which has been GPG signed using Key ID 0x37085D70.
#
# Changelog:
#     Fri Jan 10 2014 - A significant bug in Honeypot generation accuracy was found on Fri Jan 10 15:02 CST, prior entries in this list should be discarded.
#     Fri Jan 24 2014 - Added cumulative honeypot hit count of an IP seen across all days.  This will take effect for existing IPs forward-going.
#     Tue Jan 28 2014 - Corrected issue with cumulative hit count incrementing properly if the IP previously had a cumulative value.
#     Tue Feb 18 2014 - Sigh, failed to correctly shard the Mongo collection the first time.  Dumped the collection and resharded, this list was purged on Feb 18 2014.
#     Tue Feb 27 2014 - This list is now 48 hours (172800 seconds) of rolling data.
#     Fri Jun 20 2014 - Oops, sorry about the lack of updates since Jun 16 2014, the collection expanded nearly ten fold in number of IPs due to additional feeds and I needed to update the query timeout values.
#     Sat Jun 21 2014 - Time for some necessary indexes -- db.findings.createIndex({ 'packetmail_honeypot' : 1 }, { 'background' : 1 }); db.findings.createIndex({ 'packetmail_honeypot.last_seen' : 1 }, { 'background' : 1 });
#     Mon Mar 23 2015 - Fixed typo in field definitions.
#
# This list was last updated on Fri Oct 30 02:00:02 2015
#
# IP; last_seen; context; cumulative history
141.212.122.67; 2015-10-28 07:14:15; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 26
141.212.122.68; 2015-10-28 07:14:15; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 41
141.212.122.64; 2015-10-28 07:14:16; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 66
14.37.143.116; 2015-10-28 07:25:59; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
221.208.255.178; 2015-10-28 07:26:30; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 85
72.47.24.128; 2015-10-28 07:28:07; Honeypot hits in 3600 hash-collection seconds: 14; Cumulative honeypot hits for IP over all days: 234
41.41.148.130; 2015-10-28 07:46:03; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
177.101.205.30; 2015-10-28 07:47:32; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
223.4.244.13; 2015-10-28 07:50:56; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 268
178.89.237.139; 2015-10-28 07:51:05; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
175.119.224.37; 2015-10-28 08:00:44; Honeypot hits in 3600 hash-collection seconds: 10; Cumulative honeypot hits for IP over all days: 110
188.132.224.180; 2015-10-28 08:00:48; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 13
14.125.229.126; 2015-10-28 08:03:37; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
183.62.253.122; 2015-10-28 08:09:50; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 45
66.162.88.202; 2015-10-28 08:20:45; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 226
88.248.164.234; 2015-10-28 08:24:32; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
202.154.128.11; 2015-10-28 08:26:31; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
64.125.239.207; 2015-10-28 08:27:08; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 28
61.139.54.71; 2015-10-28 08:28:30; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 35
169.45.161.189; 2015-10-28 08:52:06; Honeypot hits in 3600 hash-collection seconds: 11; Cumulative honeypot hits for IP over all days: 127
87.223.74.18; 2015-10-28 08:58:52; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
187.181.16.106; 2015-10-28 09:00:43; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
